model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
534,1,0.2,extra_trees,0.3326233581824636,10.961001634597778,533,0.17546557321031941,0,1670689239.2311976,1670689250.2778313,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
1121,2,0.02,passive_aggressive,0.3342437692045067,2.8236746788024902,1120,0.329148286392942,0,1670692926.037144,1670692928.9048061,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
316,3,0.04,extra_trees,0.33715925394548063,13.46428632736206,315,0.12054099746407443,0,1670688214.4064991,1670688228.0145707,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
907,4,0.02,extra_trees,0.33798882681564246,12.41876482963562,906,0.17408354646206303,0,1670691248.3415594,1670691260.8042102,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
79,5,0.08,extra_trees,0.3386511965192168,32.45498251914978,78,0.08957013187189578,0,1670687273.5886002,1670687306.212792,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
277,6,0.02,extra_trees,0.33954154727793695,12.976369619369507,276,0.12301453193646494,0,1670688047.747036,1670688060.7828534,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
317,7,0.04,extra_trees,0.33962924099335423,14.28648567199707,316,0.1557873485868102,0,1670688222.4500647,1670688236.77204,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
274,8,0.02,passive_aggressive,0.3399249914763042,1.7035057544708252,273,0.33723331039229176,0,1670688032.456398,1670688034.187025,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Random Search
971,9,0.02,extra_trees,0.33992932862190817,13.642151117324829,970,0.177661548844272,0,1670691664.5909293,1670691678.275781,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
463,10,0.06,extra_trees,0.3399574166075231,12.971448421478271,462,0.14907985817997627,0,1670688910.0148182,1670688923.0520427,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
453,11,0.04,extra_trees,0.3402430307362402,11.443681478500366,452,0.12949152542372877,0,1670688848.2120645,1670688859.7664974,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
319,12,0.04,extra_trees,0.3412727949385933,10.237054586410522,318,0.06123163051084679,0,1670688238.5155282,1670688248.8029191,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
2150,13,0.02,gradient_boosting,0.3420865862313699,108.49922275543213,2149,0.0788338795928929,0,1670704583.5085866,1670704692.0221019,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
297,14,0.1,sgd,0.3422728796513578,2.834744930267334,296,0.32622459180273244,0,1670688127.412853,1670688130.3557348,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
598,15,0.04,liblinear_svc,0.342456608811749,2.5052130222320557,597,0.3435165200066411,0,1670689548.6632087,1670689551.187471,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],weighting,Local Search
1812,16,0.04,adaboost,0.34254888739042477,294.55223083496094,1811,0.32928679817905915,0,1670700600.6417966,1670700895.446637,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
577,17,0.02,extra_trees,0.3427462054359336,6.5197389125823975,576,0.18746789933230612,0,1670689439.3480897,1670689445.9240737,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],weighting,Local Search
629,18,0.02,extra_trees,0.3429416112342941,54.277836084365845,628,0.06009030913511637,0,1670689712.1638515,1670689766.4977965,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
1506,19,0.02,adaboost,0.34299191374663074,285.9219720363617,1505,0.32917579639305583,0,1670697000.572814,1670697286.5371904,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
1667,20,0.04,adaboost,0.34304097527937694,254.05636763572693,1666,0.3310913065411133,0,1670698960.1169808,1670699214.3442426,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
1670,21,0.04,adaboost,0.34304097527937694,267.0286123752594,1669,0.33097880928355206,0,1670699008.6874921,1670699275.754233,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
1855,22,0.06,adaboost,0.34309053778080323,187.00618767738342,1854,0.34087073911576105,0,1670701077.8842568,1670701264.9338179,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
